datetime,quantity,exposure,rate,smt_bid,smt_ask
2022/9/6 6:01,-184000,-184000,140.5891,140.573,140.65
2022/9/6 6:02,-149089,-333089,140.5891,140.572,140.646
2022/9/6 6:03,-1793503.4,-2126592.4,140.5941,140.577,140.65
2022/9/6 6:04,552384.9,-1574207.5,140.5941,140.577,140.65
2022/9/6 6:05,112967,-1461240.5,140.5941,140.577,140.65
2022/9/6 6:06,57402,-1403838.5,140.5941,140.577,140.609
2022/9/6 6:07,59042,-1344796.5,140.5941,140.577,140.609
2022/9/6 6:08,36675.32,-1308121.18,140.595,140.577,140.611
2022/9/6 6:09,41563,-1266558.18,140.5941,140.577,140.61
2022/9/6 6:10,18162,-1248396.18,140.595,140.577,140.61
2022/9/6 6:11,41915,-1206481.18,140.5941,140.577,140.61
2022/9/6 6:12,988960.78,-217520.4,140.571,140.577,140.6
2022/9/6 6:13,-62228,-279748.4,140.571,140.577,140.6
2022/9/6 6:14,3510,-276238.4,140.5899,140.577,140.6
2022/9/6 6:15,3977,-272261.4,140.5899,140.577,140.611
2022/9/6 6:16,90040,-182221.4,140.6169,140.577,140.612
2022/9/6 6:17,909275,727053.6,140.5954,140.582,140.614
2022/9/6 6:18,260798.08,987851.68,140.5886,140.571,140.61
2022/9/6 6:19,304868,1292719.68,140.5881,140.57,140.61
2022/9/6 6:20,70102.9,1362822.58,140.5895,140.57,140.61
2022/9/6 6:21,-442393,920429.58,140.593,140.577,140.618
2022/9/6 6:22,1418805,2339234.58,140.5924,140.577,140.619
2022/9/6 6:23,249934,2589168.58,140.5934,140.577,140.616
2022/9/6 6:24,8737670,11326838.58,140.5889,140.573,140.617
2022/9/6 6:25,-1660110,9666728.58,140.5889,140.573,140.616
2022/9/6 6:26,589898,10256626.58,140.5908,140.577,140.617
2022/9/6 6:27,-6196999,4059627.58,140.59,140.577,140.618
2022/9/6 6:28,650171,4709798.58,140.5904,140.576,140.608
2022/9/6 6:29,1841200,6550998.58,140.59,140.576,140.608
2022/9/6 6:30,-124195,6426803.58,140.5856,140.573,140.61
2022/9/6 6:31,17710,6444513.58,140.59,140.575,140.61
2022/9/6 6:32,348338,6792851.58,140.5914,140.577,140.609
2022/9/6 6:33,523227,7316078.58,140.5909,140.573,140.616
2022/9/6 6:34,-8151306.88,-835228.3,140.591,140.577,140.609
2022/9/6 6:35,-12010854,-12846082.3,140.5989,140.583,140.614
2022/9/6 6:36,-3004235.43,-15850317.73,140.5939,140.579,140.603
2022/9/6 6:37,2957208,-12893109.73,140.595,140.577,140.603
2022/9/6 6:38,534367.54,-12358742.19,140.5931,140.577,140.603
2022/9/6 6:39,6711104.82,-5647637.37,140.595,140.577,140.603
2022/9/6 6:40,547581,-5100056.37,140.593,140.578,140.602
2022/9/6 6:41,4715312,-384744.37,140.594,140.578,140.601
2022/9/6 6:42,-3206658,-3591402.37,140.589,140.578,140.602
2022/9/6 6:43,1058820,-2532582.37,140.5923,140.578,140.602
2022/9/6 6:44,995598,-1536984.37,140.593,140.578,140.602
2022/9/6 6:45,822654,-714330.37,140.593,140.579,140.603
2022/9/6 6:46,-12435100,-13149430.37,140.5838,140.572,140.596
2022/9/6 6:47,2450739,-10698691.37,140.5886,140.575,140.596
2022/9/6 6:48,2101893,-8596798.37,140.5909,140.576,140.597
2022/9/6 6:49,3067157,-5529641.37,140.5899,140.576,140.597
2022/9/6 6:50,2370535,-3159106.37,140.591,140.577,140.596
2022/9/6 6:51,-173171,-3332277.37,140.591,140.576,140.596
2022/9/6 6:52,1396765,-1935512.37,140.5898,140.576,140.595
2022/9/6 6:53,-825676,-2761188.37,140.589,140.576,140.596
2022/9/6 6:54,-3943885,-6705073.37,140.5895,140.576,140.596
2022/9/6 6:55,3031428.24,-3673645.13,140.59,140.577,140.596
2022/9/6 6:56,185525,-3488120.13,140.589,140.576,140.596
2022/9/6 6:57,-133284,-3621404.13,140.589,140.576,140.595
2022/9/6 6:58,2418737,-1202667.13,140.5893,140.576,140.595
2022/9/6 6:59,3727986.07,2525318.94,140.587,140.576,140.597
2022/9/6 7:00,977949,3503267.94,140.5844,140.578,140.595
2022/9/6 7:01,-19651969,-16148701.06,140.608,140.577,140.586
2022/9/6 7:02,11863894,-4284807.06,140.5808,140.574,140.586
2022/9/6 7:03,4731659.78,446852.72,140.581,140.571,140.582
2022/9/6 7:04,-1000172,-553319.28,140.5798,140.574,140.587
2022/9/6 7:05,-1600892.75,-2154212.03,140.5763,140.572,140.585
2022/9/6 7:06,-8164577.73,-10318789.76,140.581,140.567,140.586
2022/9/6 7:07,10870842.89,552053.13,140.5774,140.57,140.586
2022/9/6 7:08,3696256,4248309.13,140.5805,140.574,140.585
2022/9/6 7:09,-3277351.37,970957.76,140.5798,140.569,140.581
2022/9/6 7:10,8382570.54,9353528.3,140.577,140.57,140.581
2022/9/6 7:11,-2341585,7011943.3,140.5768,140.56,140.567
2022/9/6 7:12,3695911,10707854.3,140.5523,140.539,140.557
2022/9/6 7:13,-6578134,4129720.3,140.554,140.547,140.561
2022/9/6 7:14,3495967,7625687.3,140.5343,140.527,140.544
2022/9/6 7:15,-3063660,4562027.3,140.5373,140.514,140.53
2022/9/6 7:16,3042444,7604471.3,140.523,140.515,140.529
2022/9/6 7:17,-4887554.78,2716916.52,140.5205,140.512,140.526
2022/9/6 7:18,-5234038.9,-2517122.38,140.519,140.51,140.522
2022/9/6 7:19,9576698.84,7059576.46,140.5295,140.527,140.534
2022/9/6 7:20,-4823866,2235710.46,140.5391,140.533,140.544
2022/9/6 7:21,3262442,5498152.46,140.528,140.52,140.533
2022/9/6 7:22,7450376.26,12948528.72,140.545,140.542,140.553
2022/9/6 7:23,-3137802.61,9810726.11,140.541,140.536,140.545
2022/9/6 7:24,-13831418.29,-4020692.18,140.538,140.531,140.541
2022/9/6 7:25,10438635.63,6417943.45,140.524,140.516,140.526
2022/9/6 7:26,12537851,18955794.45,140.495,140.497,140.507
